Part Number,Description,Shipped,Pack,Piece Price,Total
031700238028,Game 2 For $1.29 30CT (C12) | Red Sweets,8,30,21.99,175.92
,,,,,
031700239391,Game 2 For $1.29 30CT (C12) | Summer Blend,1,,21.99,21.99
,,,,,
031700237922,Game 2 For $1.29 30CT (C12) | White Grape,32,30,21.99,703.68
,,,,,
031700237977,Game 2 For $1.29 30CT (C12) | White Peach,5,30,21.99,109.95
,,,,,
031700238677,Game Leaf 2CT/$1.49 15CT (C24) | Dark,4,15,12.99,51.96
,,,,,
031700238936,Game Leaf 5CT/$2.99 8CT (C24) | Black Raspberry,1,8,13.99,13.99
,,,,,
031700236864,Game Mini 3CT/$1.29 15CT (C24) | Black Sweets,2,15,11.99,23.98
,,,,,
031700236628,Game Mini 3CT/$1.29 15CT (C24) | Blue,7,15,11.99,83.93
,,,,,
031700236840,Game Mini 3CT/$1.29 15CT (C24) | Diamond,11,15,11.99,131.89
,,,,,
031700236611,Game Mini 3CT/$1.29 15CT (C24) | Red Sweets,8,15,11.99,95.92
,,,,,
031700238943,Game Special Reserve 15CT (C28),4,15,15.0,60.0
,,,,,
031700239216,Gameleaf 5CT/$3.79 8CT (C24) | White Russian,27,8,18.0,486.0
,,,,,
842426146371,Good Time 2/$1.29C Sweet Woods 15CT/2Pk  (C24) | Platinum Unsweet,2,15,10.99,21.98
,,,,,
842426183819,Good Time Sweet Woods Leaf 15/2CT (C24) | Dark Sweet,5,15,14.99,74.95
,,,,,
842426166867,Good Times #Hd 3CT/$1.29 15CT (C24) | Berry Fusion,3,15,9.75,29.25
,,,,,
842426166898,Good Times #Hd 3CT/$1.29 15CT (C24) | Blue,4,15,9.75,39.0
,,,,,
842426166928,Good Times #Hd 3CT/$1.29 15CT (C24) | Cognac,2,15,9.75,19.5
,,,,,
842426166980,Good Times #Hd 3CT/$1.29 15CT (C24) | Honey,3,15,9.75,29.25
,,,,,
842426166836,Good Times #Hd 3CT/$1.29 15CT (C24) | Honey Fusion,3,15,9.75,29.25
,,,,,
842426167048,Good Times #Hd 3CT/$1.29 15CT (C24) | Napa Grape,6,15,9.75,58.5
,,,,,
842426167130,Good Times #Hd 3CT/$1.29 15CT (C24) | Russian Cream,4,15,9.75,39.0
,,,,,
842426181082,Good Times #Hd 3CT/$1.29 15CT (C24) | Strawberry Cream,4,15,9.75,39.0
,,,,,
842426167109,Good Times #Hd 3CT/$1.29 15CT (C24) | Sweet,3,15,9.75,29.25
,,,,,
842426167161,Good Times #Hd 3CT/$1.29 15CT (C24) | Vanilla,8,15,9.75,78.0
,,,,,
842426164078,Good Times #Hd Palma $1.29 10CT (C24) | Blue,2,10,8.0,16.0
,,,,,
842426165150,Good Times #Hd Palma $1.29 10CT (C24) | Green,2,10,8.0,16.0
,,,,,
842426170529,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Banana,6,15,12.25,73.5
,,,,,
842426170581,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Classic,2,15,12.25,24.5
,,,,,
842426170796,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Cognac,1,15,12.25,12.25
,,,,,
842426170826,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Honey Berry,4,15,12.25,49.0
,,,,,
842426170734,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Russian Cream,8,15,12.25,98.0
,,,,,
842426170550,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Sweet Aroma,6,15,12.25,73.5
,,,,,
842426170499,Good Times 2 For $1.39 Sweet Woods Leaf 15CT (C24) | Vanilla,11,15,12.25,134.75
,,,,,
842426181839,Good Times Black Smooth 69C 15CT (C25) | Black Cherry,1,25,5.25,5.25
,,,,,
842426181532,Good Times Black Smooth 69C 15CT (C25) | Blueberry,3,25,5.25,15.75
,,,,,
842426181594,Good Times Black Smooth 69C 15CT (C25) | Vanilla,2,25,5.25,10.5
,,,,,
842426181563,Good Times Black Smooth 69C 15CT (C25) | Watermelon,1,25,5.25,5.25
,,,,,
850026718034,Hempcgr 2 Sies Blunt 15CT/2PK (C24) | Grape Kush,2,15,9.49,18.98
,,,,,
850026718195,Hempcgr 2 Sies Blunt 15CT/2PK (C24) | Og Sweet,2,15,9.49,18.98
,,,,,
850026718157,Hempcgr 2 Sies Blunt 15CT/2PK (C24) | Vanilla Sky,2,15,9.49,18.98
,,,,,
070330644809,Lgt Bic 50CT (C6) | Reg CT+3,2,50,47.0,94.0
,,,,,
756545704629,Lighter Great Lite Clear 50CT (C20),2,50,4.5,9.0
,,,,,
025900443108,Optimo 2CT/$99C 30CTct/2PK (C24) | Grape,2,30,17.99,35.98
,,,,,
025900443054,Optimo 2CT/$99C 30CTct/2PK (C24) | Silver,2,30,17.99,35.98
,,,,,
070235501412,Phillies Titan 10CT/5PK (C12),1,10,41.99,41.99
,,,,,
894945001426,Pipe Tobacco Bag Ohm 16OZ (C24) | Blue,25,1,9.49,237.25
,,,,,
894945001419,Pipe Tobacco Bag Ohm 16OZ (C24) | Bold,15,1,9.49,142.35
,,,,,
894945001433,Pipe Tobacco Bag Ohm 16OZ (C24) | Silver,8,1,9.49,75.92
,,,,,
894945001839,Pipe Tobacco Bag Ohm 16OZ (C24) | Turkish Red,15,1,9.49,142.35
,,,,,
761073427896,Pipe Tobacco Captain Black Tin 7OZ (C12) | Original,3,1,21.99,65.97
,,,,,
619682010124,Royal Blunts Ez Roll 25CT (C100) | Blueberry,2,25,6.5,13.0
,,,,,
619682621320,Royal Blunts Ez Roll 25CT (C100) | Jamaica Rum,1,25,6.5,6.5
,,,,,
619682010360,Royal Blunts Ez Roll 25CT (C100) | Sour Apple,2,25,6.5,13.0
,,,,,
619682009906,Royal Blunts Ez Roll 25CT (C100) | Strawberry Banana,2,25,6.5,13.0
,,,,,
619682621221,Royal Blunts Ez Roll 25CT (C100) | Wet Mango,2,25,6.5,13.0
,,,,,
816568010340,Shargio Cigarette Tube King Size 200CT (C40) | Red + 50CT Free,24,,2.19,52.56
,,,,,
858765004067,Show 2CT/99C 15CT Z Palma (C24),2,15,8.0,16.0
,,,,,
858765007396,Show 5CT/$1 15CT (C24) | Cream,2,15,8.0,16.0
,,,,,
817127021531,Show 5CT/$1 15CT (C24) | Diamond,2,15,8.0,16.0
,,,,,
858765005941,Show 5CT/$1 15CT (C24) | Kiwi Strawberry,2,15,8.0,16.0
,,,,,
858765005859,Show 5CT/$1 15CT (C24) | Koosh,1,15,8.0,8.0
,,,,,
817127027441,Show 5CT/$1 15CT (C24) | Lemon Ice,2,15,8.0,16.0
,,,,,
858765009093,Show 5CT/$1 15CT (C24) | Silver,2,15,8.0,16.0
,,,,,
858765005828,Show 5CT/$1 15CT (C24) | Sweet,3,15,8.0,24.0
,,,,,
858765004739,Show 5CT/$1 15CT (C24) | Watermelon,2,15,8.0,16.0
,,,,,
858765008676,Show 5CT/$1 15CT (C24) | Wet & Fruity,3,15,8.0,24.0
,,,,,
025900287351,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Blue Berry,2,30,20.89,41.78
,,,,,
025900329884,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Cream,1,30,20.89,20.89
,,,,,
025900329839,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Diamond,31,30,20.89,647.59
,,,,,
025900287344,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Grape,3,30,20.89,62.67
,,,,,
025900287337,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Regular Sweet,32,30,20.89,668.48
,,,,,
025900284336,Swisher Sweets 2CT/$1.19 30CT/2PK (C24) | Strawberry,4,30,20.89,83.56
,,,,,
025900426828,Swisher Sweets 2CT/$99C 30CT/2PK (C24) | Banana Smash,2,30,16.5,33.0
,,,,,
025900337667,Swisher Sweets 2CT/$99C 30CT/2PK (C24) | Maui Pineapple,2,30,16.5,33.0
,,,,,
025900453381,Swisher Sweets 2CT/$99C 30CT/2PK (C24) | Wild Rush,2,30,16.5,33.0
,,,,,
025900336776,Swisher Sweets Blk 2CT/$1.49 15CT/2PK (C48) | Cocoa,2,15,13.49,26.98
,,,,,
025900325718,Swisher Sweets Blk 2CT/$1.49 15CT/2PK (C48) | Smooth,13,,13.49,175.37
,,,,,
025900297695,Swisher Sweets Blk 2CT/$1.49 15CT/2PK (C48) | Wine,6,,13.49,80.94
,,,,,
025900336905,Swisher Sweets Blk 2CT/$1.49 30CT/2PK (C24) | Berry,4,,24.99,99.96
,,,,,
025900336882,Swisher Sweets Blk 2CT/$1.49 30CT/2PK (C24) | Cherry,2,,24.99,49.98
,,,,,
025900336899,Swisher Sweets Blk 2CT/$1.49 30CT/2PK (C24) | Grape,4,30,24.99,99.96
,,,,,
025900359027,Swisher Sweets Leaf 10CT/3PK (C20) | Sweet Aromatic,16,10,19.5,312.0
,,,,,
025900240868,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Blue Berry,2,15,15.25,30.5
,,,,,
025900379339,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Gold,3,15,15.25,45.75
,,,,,
025900240813,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Grape,1,15,15.25,15.25
,,,,,
025900240929,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Island Bash,3,15,15.25,45.75
,,,,,
025900321161,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Mango Passion Fruit,3,15,15.25,45.75
,,,,,
025900240806,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Reg,2,15,15.25,30.5
,,,,,
025900240905,Swisher Sweets Mini Foil 3 For 2 15CT/3PK (C24) | Sticky Sweet,1,15,15.25,15.25
,,,,,
025900359034,Swisher Sweetss Leaf 10CTct/3PK (C20) | Cognac,5,10,19.99,99.95
,,,,,
